"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007411","GO:0007411","axon guidance","34/957","247/21288",0.137651821862348,3.06199789321386,7.0719199236612,6.41933517029789e-09,1.17768736478817e-05,9.393765165804e-06,"ENSG00000162614/ENSG00000163697/ENSG00000100784/ENSG00000122877/ENSG00000077254/ENSG00000169750/ENSG00000182197/ENSG00000125848/ENSG00000107562/ENSG00000196569/ENSG00000196155/ENSG00000074047/ENSG00000168621/ENSG00000169855/ENSG00000105711/ENSG00000075213/ENSG00000137872/ENSG00000118257/ENSG00000136830/ENSG00000149633/ENSG00000170759/ENSG00000160145/ENSG00000182580/ENSG00000110400/ENSG00000143869/ENSG00000165533/ENSG00000112715/ENSG00000165801/ENSG00000133216/ENSG00000106571/ENSG00000107731/ENSG00000129116/ENSG00000148400/ENSG00000012171",34
"GO:0097485","GO:0097485","neuron projection guidance","34/957","247/21288",0.137651821862348,3.06199789321386,7.0719199236612,6.41933517029789e-09,1.17768736478817e-05,9.393765165804e-06,"ENSG00000162614/ENSG00000163697/ENSG00000100784/ENSG00000122877/ENSG00000077254/ENSG00000169750/ENSG00000182197/ENSG00000125848/ENSG00000107562/ENSG00000196569/ENSG00000196155/ENSG00000074047/ENSG00000168621/ENSG00000169855/ENSG00000105711/ENSG00000075213/ENSG00000137872/ENSG00000118257/ENSG00000136830/ENSG00000149633/ENSG00000170759/ENSG00000160145/ENSG00000182580/ENSG00000110400/ENSG00000143869/ENSG00000165533/ENSG00000112715/ENSG00000165801/ENSG00000133216/ENSG00000106571/ENSG00000107731/ENSG00000129116/ENSG00000148400/ENSG00000012171",34
"GO:0032970","GO:0032970","regulation of actin filament-based process","47/957","416/21288",0.112980769230769,2.51320231492645,6.76231594982711,6.60879553753182e-09,1.17768736478817e-05,9.393765165804e-06,"ENSG00000132970/ENSG00000108830/ENSG00000162704/ENSG00000179820/ENSG00000169750/ENSG00000162643/ENSG00000107562/ENSG00000134318/ENSG00000174437/ENSG00000170989/ENSG00000141298/ENSG00000172403/ENSG00000146122/ENSG00000079691/ENSG00000197872/ENSG00000171132/ENSG00000145362/ENSG00000184304/ENSG00000111859/ENSG00000145675/ENSG00000197321/ENSG00000071127/ENSG00000115963/ENSG00000100092/ENSG00000073712/ENSG00000160460/ENSG00000163171/ENSG00000064666/ENSG00000197045/ENSG00000102760/ENSG00000168309/ENSG00000103647/ENSG00000067900/ENSG00000165533/ENSG00000121879/ENSG00000107104/ENSG00000197046/ENSG00000163431/ENSG00000143322/ENSG00000125868/ENSG00000130529/ENSG00000198793/ENSG00000184009/ENSG00000156232/ENSG00000186575/ENSG00000112290/ENSG00000133789",47
"GO:0007409","GO:0007409","axonogenesis","51/957","483/21288",0.105590062111801,2.34879962616095,6.50535454806801,1.47216716777327e-08,1.65672517595279e-05,1.32147866339512e-05,"ENSG00000162614/ENSG00000163697/ENSG00000100784/ENSG00000143320/ENSG00000122877/ENSG00000108830/ENSG00000077254/ENSG00000169750/ENSG00000182197/ENSG00000125848/ENSG00000107562/ENSG00000196569/ENSG00000112658/ENSG00000196155/ENSG00000164050/ENSG00000074047/ENSG00000168621/ENSG00000169855/ENSG00000214944/ENSG00000105711/ENSG00000075213/ENSG00000137872/ENSG00000118257/ENSG00000136830/ENSG00000149633/ENSG00000083290/ENSG00000160460/ENSG00000170759/ENSG00000160145/ENSG00000182580/ENSG00000110400/ENSG00000166963/ENSG00000143869/ENSG00000075624/ENSG00000165533/ENSG00000112715/ENSG00000140443/ENSG00000165801/ENSG00000133216/ENSG00000106571/ENSG00000197381/ENSG00000107731/ENSG00000035403/ENSG00000129116/ENSG00000148400/ENSG00000184009/ENSG00000184564/ENSG00000012171/ENSG00000171862/ENSG00000130479/ENSG00000179295",51
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","43/957","373/21288",0.115281501340483,2.56438098279644,6.61305048369561,1.61062185028339e-08,1.65672517595279e-05,1.32147866339512e-05,"ENSG00000132970/ENSG00000108830/ENSG00000162704/ENSG00000179820/ENSG00000169750/ENSG00000162643/ENSG00000107562/ENSG00000134318/ENSG00000170989/ENSG00000141298/ENSG00000172403/ENSG00000146122/ENSG00000079691/ENSG00000197872/ENSG00000171132/ENSG00000184304/ENSG00000111859/ENSG00000145675/ENSG00000197321/ENSG00000071127/ENSG00000115963/ENSG00000100092/ENSG00000073712/ENSG00000160460/ENSG00000163171/ENSG00000197045/ENSG00000102760/ENSG00000168309/ENSG00000103647/ENSG00000067900/ENSG00000165533/ENSG00000121879/ENSG00000107104/ENSG00000197046/ENSG00000163431/ENSG00000143322/ENSG00000125868/ENSG00000198793/ENSG00000184009/ENSG00000156232/ENSG00000186575/ENSG00000112290/ENSG00000133789",43
"GO:0010631","GO:0010631","epithelial cell migration","45/957","403/21288",0.11166253101737,2.48387874639265,6.52480484417511,1.98179967864423e-08,1.65672517595279e-05,1.32147866339512e-05,"ENSG00000135821/ENSG00000185950/ENSG00000163513/ENSG00000136999/ENSG00000143878/ENSG00000134318/ENSG00000126016/ENSG00000137801/ENSG00000146122/ENSG00000112658/ENSG00000143507/ENSG00000171132/ENSG00000169855/ENSG00000184304/ENSG00000144724/ENSG00000113140/ENSG00000092969/ENSG00000118257/ENSG00000100092/ENSG00000126561/ENSG00000162407/ENSG00000100292/ENSG00000123358/ENSG00000139567/ENSG00000102760/ENSG00000067900/ENSG00000117461/ENSG00000166974/ENSG00000165633/ENSG00000196411/ENSG00000121879/ENSG00000112715/ENSG00000164171/ENSG00000107104/ENSG00000061273/ENSG00000171608/ENSG00000179388/ENSG00000163430/ENSG00000148400/ENSG00000198793/ENSG00000171862/ENSG00000145632/ENSG00000164619/ENSG00000185551/ENSG00000179295",45
"GO:0150115","GO:0150115","cell-substrate junction organization","21/957","112/21288",0.1875,4.17084639498433,7.29954987071818,2.40435431389581e-08,1.65672517595279e-05,1.32147866339512e-05,"ENSG00000135862/ENSG00000173517/ENSG00000134318/ENSG00000137801/ENSG00000243244/ENSG00000145675/ENSG00000095637/ENSG00000073712/ENSG00000139567/ENSG00000168309/ENSG00000103647/ENSG00000067900/ENSG00000166974/ENSG00000137076/ENSG00000112715/ENSG00000164171/ENSG00000198728/ENSG00000035403/ENSG00000184009/ENSG00000156232/ENSG00000171862",21
"GO:0090132","GO:0090132","epithelium migration","45/957","406/21288",0.110837438423645,2.46552496255231,6.46850651821919,2.47919966472547e-08,1.65672517595279e-05,1.32147866339512e-05,"ENSG00000135821/ENSG00000185950/ENSG00000163513/ENSG00000136999/ENSG00000143878/ENSG00000134318/ENSG00000126016/ENSG00000137801/ENSG00000146122/ENSG00000112658/ENSG00000143507/ENSG00000171132/ENSG00000169855/ENSG00000184304/ENSG00000144724/ENSG00000113140/ENSG00000092969/ENSG00000118257/ENSG00000100092/ENSG00000126561/ENSG00000162407/ENSG00000100292/ENSG00000123358/ENSG00000139567/ENSG00000102760/ENSG00000067900/ENSG00000117461/ENSG00000166974/ENSG00000165633/ENSG00000196411/ENSG00000121879/ENSG00000112715/ENSG00000164171/ENSG00000107104/ENSG00000061273/ENSG00000171608/ENSG00000179388/ENSG00000163430/ENSG00000148400/ENSG00000198793/ENSG00000171862/ENSG00000145632/ENSG00000164619/ENSG00000185551/ENSG00000179295",45
"GO:0031589","GO:0031589","cell-substrate adhesion","45/957","408/21288",0.110294117647059,2.45343905587313,6.43125143872329,2.87395484379154e-08,1.70523372397628e-05,1.36017126741645e-05,"ENSG00000108821/ENSG00000162692/ENSG00000179820/ENSG00000135862/ENSG00000169750/ENSG00000173517/ENSG00000134318/ENSG00000137801/ENSG00000243244/ENSG00000112658/ENSG00000079691/ENSG00000168542/ENSG00000159840/ENSG00000116962/ENSG00000091136/ENSG00000113916/ENSG00000171132/ENSG00000182718/ENSG00000111859/ENSG00000145675/ENSG00000095637/ENSG00000143127/ENSG00000073712/ENSG00000139567/ENSG00000142871/ENSG00000168309/ENSG00000103647/ENSG00000067900/ENSG00000182580/ENSG00000137076/ENSG00000112715/ENSG00000130402/ENSG00000164171/ENSG00000107104/ENSG00000158813/ENSG00000198728/ENSG00000035403/ENSG00000148400/ENSG00000096968/ENSG00000101384/ENSG00000184009/ENSG00000156232/ENSG00000186575/ENSG00000171862/ENSG00000124466",45
"GO:0035904","GO:0035904","aorta development","16/957","67/21288",0.238805970149254,5.31212277172133,7.66971850549616,3.18973760564212e-08,1.70523372397628e-05,1.36017126741645e-05,"ENSG00000124766/ENSG00000122877/ENSG00000163513/ENSG00000112658/ENSG00000168542/ENSG00000169855/ENSG00000092969/ENSG00000139567/ENSG00000174697/ENSG00000129038/ENSG00000107882/ENSG00000104313/ENSG00000168214/ENSG00000148400/ENSG00000101384/ENSG00000057657",16
