"","logFC","logCPM","F","PValue","FDR"
"ENSG00000152583",4.59725444151338,5.54461886519401,487.165773376068,3.90494407711876e-09,6.71611331823656e-05
"ENSG00000250978",6.17415943217678,1.41157955476575,166.932736930132,2.60515416686924e-08,0.000182487071588923
"ENSG00000134686",1.38368547632926,7.00121865628331,297.647105362813,3.40248722959007e-08,0.000182487071588923
"ENSG00000179094",3.17944946829068,5.18421519834154,272.2432990719,5.02537273121143e-08,0.000182487071588923
"ENSG00000125148",2.19849741063072,7.4176532646935,268.855379584275,5.30516517207171e-08,0.000182487071588923
"ENSG00000148175",1.44771391457987,9.03239016614282,248.601656509728,7.4613460727386e-08,0.000213879485175052
"ENSG00000196517",-2.22299468377461,3.44364558659917,238.053903960972,9.02204653108229e-08,0.000215657677642578
"ENSG00000178695",-2.50441315663889,6.95702569582372,226.57515966281,1.11633868400585e-07,0.000215657677642578
"ENSG00000183044",1.15406684975041,4.54808009220611,220.256927574632,1.2621260673374e-07,0.000215657677642578
"ENSG00000120129",2.94510028129627,7.3171171233737,218.844621778682,1.29755696359874e-07,0.000215657677642578
"ENSG00000162616",1.51715028491096,6.10176241935857,215.778828751317,1.37928626900887e-07,0.000215657677642578
"ENSG00000189221",3.29940505014283,6.77435523969786,207.395072847923,1.63718993635184e-07,0.000218282173820203
"ENSG00000162614",2.02604299602512,7.97872578690009,207.023563351895,1.6499030523069e-07,0.000218282173820203
"ENSG00000144369",-1.35395485610069,5.93379278519081,200.720291676335,1.88566017646552e-07,0.000231653352678789
"ENSG00000116584",-1.01992165260384,6.72086297823481,196.411814741165,2.07072931650066e-07,0.000237429823429966
"ENSG00000181467",-1.27709762844154,4.88994130931624,184.97580547921,2.68179049848084e-07,0.000288275717396074
"ENSG00000109906",7.17316912635125,4.17326881885743,183.874497090015,2.97895841086927e-07,0.000301382974756122
"ENSG00000077684",1.20374465197683,6.20037534270314,167.554666621941,4.10005467365413e-07,0.00039033223240284
"ENSG00000166741",2.15820331582092,8.44104581861258,164.411535148784,4.44635619769791e-07,0.00039033223240284
"ENSG00000114098",1.35328358645266,5.56462086292598,162.448188099068,4.68093503447763e-07,0.00039033223240284
"ENSG00000158246",2.32440761949603,1.74640179882723,162.100327672559,4.7659613236e-07,0.00039033223240284
"ENSG00000164647",1.55229261241692,6.4898799774243,157.555387976367,5.33460657116762e-07,0.000412306025590877
"ENSG00000143494",-3.88244375621146,-0.000748560380411725,114.897904597245,5.53321295836129e-07,0.000412306025590877
"ENSG00000164125",1.12107722514757,8.03251160833544,153.268571563394,6.00119751386655e-07,0.000412306025590877
"ENSG00000183160",-1.1745706738577,7.12927132337238,151.502561373607,6.30523091062124e-07,0.000412306025590877
"ENSG00000101347",3.8549528118933,9.21526995513294,150.823694286615,6.42709268352494e-07,0.000412306025590877
"ENSG00000177666",1.10095352045955,6.31572992241869,150.574150824835,6.47262206579085e-07,0.000412306025590877
"ENSG00000096060",3.9315259677504,6.90546912067669,149.060396816556,6.75804173677735e-07,0.000415112713681549
"ENSG00000123562",1.02389250355908,7.88131488896854,143.633357110812,7.91255431416972e-07,0.000464805412546977
"ENSG00000139289",-0.996484384513127,6.53316483753452,142.813146898902,8.10754251782623e-07,0.000464805412546977
"ENSG00000163697",1.07744158272754,6.72890311856137,140.013458378435,8.81885091369603e-07,0.00048927553827309
"ENSG00000164484",-1.21844188837421,5.2613319334622,138.056549833055,9.36216028250218e-07,0.000503186858433609
"ENSG00000145777",-2.78971622922386,2.85887060228016,136.520477846197,9.85931576158886e-07,0.000513849611465354
"ENSG00000139132",2.25080276053029,5.83995734056287,133.953431931186,1.06388858464472e-06,0.000538171169626606
"ENSG00000161647",1.56354682188458,2.97226949323761,129.6616023322,1.22228093451142e-06,0.00060062885121891
"ENSG00000198624",2.89096172751277,6.5885545199664,127.892841891281,1.29400226276723e-06,0.000618209581037046
"ENSG00000163491",-2.47897137150979,2.93051954246597,125.848633450917,1.38894325454645e-06,0.000638564529576316
"ENSG00000133142",1.54379250800705,7.15918991386331,125.255417088138,1.41295886442039e-06,0.000638564529576316
"ENSG00000132970",1.09949650951437,5.95267558097086,124.530231118593,1.44799213055854e-06,0.000638564529576316
"ENSG00000172986",-1.57234316519841,5.15133544437882,123.59228829644,1.49508317872161e-06,0.000642848389770826
"ENSG00000181061",1.20698537594243,6.8241046410428,118.845414379499,1.7628283767009e-06,0.00073031339452177
"ENSG00000116285",2.43562639237826,7.23990644492276,117.370047490779,1.85785390793537e-06,0.00073031339452177
"ENSG00000162692",-3.59863007902069,4.58197597938383,117.312870507597,1.86378360235539e-06,0.00073031339452177
